term	warmth (W)	competence (C)	sociability (S)	trust (T)
strawberries	0.889	0.000	0.889	0.100
strawberry	0.933	-0.328	0.933	0.000
strawberry jam	1.000	0.000	1.000	0.121
strawman	-0.733	-0.389	-0.667	-0.733
stray	-0.375	-0.438	-0.375	-0.370
stray cat	-0.296	-0.366	0.000	-0.296
streamline	0.333	0.236	0.000	0.333
streamlined	0.148	0.630	0.048	0.148
streamliner	0.208	0.630	0.208	0.167
streamside	0.429	0.000	0.429	0.067
street corner	-0.364	-0.194	0.000	-0.364
street smart	0.571	0.148	0.571	0.375
streetcar	0.091	0.132	0.083	0.091
streetlamp	0.238	0.037	0.238	0.033
streetlight	0.250	-0.220	0.250	0.033
streetscape	0.167	0.000	0.167	0.000
streetwalker	-0.952	-0.667	-0.952	-0.792
streetwalking	-0.800	-0.625	-0.708	-0.800
streetwise	0.583	0.667	0.583	0.121
strength	0.810	0.716	0.556	0.810
strengthen	0.583	0.971	0.583	0.500
strengthener	0.545	0.708	0.417	0.545
strengthening	0.694	0.890	0.542	0.694
strenuous	-0.542	-0.038	-0.542	0.194
strenuousness	0.485	0.625	0.000	0.485
strep	-0.619	-0.294	-0.619	0.000
strep throat	-0.125	-0.258	-0.125	-0.083
streptococcal	-0.810	-0.556	-0.810	-0.121
streptococci	-0.792	-0.583	-0.792	-0.030
streptococcus	-0.889	-0.571	-0.889	-0.333
stress	-0.500	-0.366	-0.500	-0.194
stress out	-0.542	-0.236	-0.542	-0.033
stress test	-0.375	-0.154	-0.375	0.152
stressed	-0.381	0.004	-0.381	-0.182
stressed out	-0.370	-0.458	-0.370	-0.182
stresses	-0.417	-0.208	-0.417	0.000
stressfree	0.905	0.260	0.905	0.788
stressful	-0.625	-0.222	-0.625	-0.233
stressfully	-0.571	-0.583	-0.571	-0.250
stressin	-0.571	-0.266	-0.571	-0.250
stressing	-0.556	-0.076	-0.556	0.000
stressor	-0.500	-0.481	-0.500	-0.267
stressrelief	0.875	-0.050	0.875	0.074
stretchable	0.056	0.185	0.000	0.056
stretched out	-0.056	-0.290	-0.056	0.000
stricken	-0.381	-0.264	-0.381	-0.037
strictly speaking	-0.500	0.154	-0.500	0.148
strictness	0.583	0.810	-0.542	0.583
stridence	-0.667	0.708	-0.667	-0.370
stridency	-0.714	0.741	-0.714	-0.556
strident	-0.667	0.704	-0.667	-0.545
stridently	-0.667	0.917	-0.667	-0.333
strife	-0.697	0.260	-0.619	-0.697
strike	-0.583	0.142	-0.583	-0.364
strike at	-0.667	-0.166	-0.667	-0.576
strike back	-0.519	0.034	-0.519	-0.100
strike on	-0.389	-0.068	-0.389	0.000
strike out	-0.542	-0.066	-0.542	0.000
strike zone	0.111	0.448	-0.042	0.111
strikebreaker	-0.750	1.000	-0.750	-0.545
strikeout	-0.476	-0.258	-0.476	0.000
striking	0.167	0.314	0.000	0.167
strikingly	0.238	0.622	0.238	0.033
string	0.292	-0.110	0.292	0.000
string together	0.296	0.172	0.296	0.000
stringency	-0.583	0.667	-0.583	0.417
stringent	-0.667	0.926	-0.667	0.583
strings attached	-0.733	0.172	-0.238	-0.733
strip away	-0.583	-0.112	-0.583	-0.233
strip club	-0.636	-0.194	-0.619	-0.636
strip of	-0.208	-0.334	-0.208	-0.194
stripe	0.000	-0.278	0.000	0.000
striped	0.030	-0.230	0.013	0.030
stripped	-0.381	-0.444	-0.381	-0.194
stripper	-0.600	-0.094	-0.222	-0.600
stripper pole	-0.714	-0.200	-0.714	-0.133
stripteaser	-0.758	-0.333	-0.600	-0.758
strived	0.538	0.667	0.292	0.538
striver	0.792	0.704	0.792	0.633
strode	0.273	0.704	0.000	0.273
stroganoff	0.222	0.000	0.222	0.056
stroll	0.625	-0.112	0.625	0.074
stroller	0.815	-0.372	0.815	0.200
strolling	0.762	-0.320	0.762	0.067
strong	0.542	0.790	0.542	0.303
strong case	0.667	0.600	0.333	0.667
strong man	0.485	0.742	0.125	0.485
strong point	0.576	0.400	0.167	0.576
strong sense	0.700	0.536	0.500	0.700
strong suit	0.485	0.392	0.238	0.485
strong support	1.000	0.280	1.000	0.788
strongest	0.167	0.594	0.167	0.139
stronghold	0.667	0.926	-0.476	0.667
strongly	0.556	0.770	0.111	0.556
strongman	-0.238	1.000	-0.238	-0.200
strongpoint	0.667	0.857	0.222	0.667
strove	0.429	0.556	0.429	0.182
struck	-0.333	0.034	-0.333	0.000
structuralize	-0.238	0.556	-0.238	0.152
structured	0.633	0.704	0.333	0.633
strudel	0.417	-0.206	0.417	0.000
struggle	0.333	0.482	0.333	0.278
struggle on	0.048	-0.400	0.048	-0.033
struggle to	-0.250	-0.310	-0.250	-0.095
struggled	-0.143	-0.667	-0.143	-0.121
struggler	-0.152	-0.524	-0.148	-0.152
strum	0.250	0.000	0.250	0.026
strumpet	-0.926	-0.833	-0.792	-0.926
strung	-0.375	-0.370	-0.375	-0.037
stub	-0.125	-0.266	-0.125	0.000
stubbed	-0.333	-0.518	-0.333	-0.030
stubble	-0.083	-0.472	-0.083	0.056
stubborn	-0.500	0.150	-0.500	-0.333
stubbornly	-0.667	0.611	-0.667	-0.364
